Time, CA, CB,CAO, v0,
111.45,0.039999999999994665,0.1592754728225898,0.2,0.05,
111.95,0.03999999999999533,0.15929358600202453,0.2,0.05,
112.45,0.039999999999995914,0.15931124635197347,0.2,0.05,
112.95,0.03999999999999643,0.15932846519317373,0.2,0.05,
113.45,0.03999999999999687,0.159345253563344,0.2,0.05,
113.95,0.03999999999999726,0.1593616222242601,0.2,0.05,
114.45,0.03999999999999761,0.1593775816686533,0.2,0.05,
114.95,0.03999999999999791,0.15939314212693673,0.2,0.05,
115.45,0.039999999999998176,0.15940831357376312,0.2,0.05,
115.95,0.0399999999999984,0.15942310573441887,0.2,0.05,
116.45,0.03999999999999859,0.1594375280910582,0.2,0.05,
116.95,0.03999999999999877,0.1594515898887816,0.2,0.05,
117.45,0.039999999999998925,0.15946530014156196,0.2,0.05,
117.95,0.039999999999999064,0.15947866763802282,0.2,0.05,
118.45,0.039999999999999175,0.15949170094707216,0.2,0.05,
118.95,0.03999999999999927,0.15950440842339525,0.2,0.05,
119.45,0.03999999999999937,0.15951679821281028,0.2,0.05,
119.95,0.03999999999999945,0.15952887825748996,0.2,0.05,
120.45,0.03999999999999952,0.15954065630105263,0.2,0.05,
120.95,0.03999999999999958,0.1595521398935263,0.2,0.05,
121.45,0.03999999999999963,0.15956333639618808,0.2,0.05,
121.95,0.039999999999999675,0.15957425298628336,0.2,0.05,
122.45,0.039999999999999716,0.15958489666162623,0.2,0.05,
122.95,0.03999999999999976,0.15959527424508557,0.2,0.05,
123.45,0.039999999999999786,0.15960539238895843,0.2,0.05,
123.95,0.039999999999999813,0.15961525757923445,0.2,0.05,
124.45,0.03999999999999984,0.15962487613975357,0.2,0.05,
124.95,0.039999999999999855,0.1596342542362597,0.2,0.05,
125.45,0.03999999999999987,0.1596433978803532,0.2,0.05,
125.95,0.03999999999999988,0.15965231293334436,0.2,0.05,
126.45,0.0399999999999999,0.15966100511001075,0.2,0.05,
126.95,0.03999999999999991,0.15966947998226044,0.2,0.05,
127.45,0.039999999999999925,0.15967774298270393,0.2,0.05,
127.95,0.03999999999999994,0.15968579940813632,0.2,0.05,
128.45,0.03999999999999995,0.15969365442293293,0.2,0.05,
128.95,0.03999999999999995,0.15970131306235957,0.2,0.05,
129.45,0.03999999999999995,0.1597087802358006,0.2,0.05,
129.95,0.03999999999999995,0.15971606072990557,0.2,0.05,
130.45,0.03999999999999995,0.15972315921165792,0.2,0.05,
130.95,0.03999999999999995,0.15973008023136648,0.2,0.05,
131.45,0.03999999999999995,0.15973682822558233,0.2,0.05,
131.95,0.03999999999999995,0.15974340751994276,0.2,0.05,
132.45,0.03999999999999995,0.15974982233194418,0.2,0.05,
132.95,0.03999999999999995,0.15975607677364556,0.2,0.05,
133.45,0.03999999999999995,0.15976217485430444,0.2,0.05,
133.95,0.03999999999999995,0.1597681204829468,0.2,0.05,
134.45,0.03999999999999995,0.1597739174708731,0.2,0.05,
134.95,0.03999999999999995,0.15977956953410127,0.2,0.05,
135.45,0.03999999999999995,0.15978508029574873,0.2,0.05,
135.95,0.03999999999999995,0.159790453288355,0.2,0.05,
136.45,0.03999999999999995,0.15979569195614612,0.2,0.05,
136.95,0.03999999999999995,0.15980079965724248,0.2,0.05,
137.45,0.03999999999999995,0.1598057796658114,0.2,0.05,
137.95,0.03999999999999995,0.1598106351741661,0.2,0.05,
138.45,0.03999999999999995,0.15981536929481194,0.2,0.05,
138.95,0.03999999999999995,0.15981998506244166,0.2,0.05,
139.45,0.03999999999999995,0.15982448543588063,0.2,0.05,
139.95,0.03999999999999995,0.15982887329998363,0.2,0.05,
140.45,0.03999999999999995,0.15983315146748406,0.2,0.05,
140.95,0.03999999999999995,0.15983732268079698,0.2,0.05,
141.45,0.03999999999999995,0.15984138961377703,0.2,0.05,
141.95,0.03999999999999995,0.1598453548734326,0.2,0.05,
142.45,0.03999999999999995,0.15984922100159676,0.2,0.05,
142.95,0.03999999999999995,0.15985299047655682,0.2,0.05,
143.45,0.03999999999999995,0.1598566657146429,0.2,0.05,
143.95,0.03999999999999995,0.15986024907177682,0.2,0.05,
144.45,0.03999999999999995,0.1598637428449824,0.2,0.05,
144.95,0.03999999999999995,0.1598671492738578,0.2,0.05,
145.45,0.03999999999999995,0.15987047054201137,0.2,0.05,
145.95,0.03999999999999995,0.15987370877846108,0.2,0.05,
146.45,0.03999999999999995,0.15987686605899953,0.2,0.05,
146.95,0.03999999999999995,0.15987994440752457,0.2,0.05,
147.45,0.03999999999999995,0.15988294579733647,0.2,0.05,
147.95,0.03999999999999995,0.15988587215240307,0.2,0.05,
148.45,0.03999999999999995,0.159888725348593,0.2,0.05,
148.95,0.03999999999999995,0.15989150721487816,0.2,0.05,
149.45,0.03999999999999995,0.15989421953450622,0.2,0.05,
149.95,0.03999999999999995,0.15989686404614356,0.2,0.05,
150.45,0.03999999999999995,0.15989944244499,0.2,0.05,
150.95,0.03999999999999995,0.15990195638386523,0.2,0.05,
151.45,0.03999999999999995,0.1599044074742686,0.2,0.05,
151.95,0.03999999999999995,0.15990679728741186,0.2,0.05,
152.45,0.03999999999999995,0.15990912735522655,0.2,0.05,
152.95,0.03999999999999995,0.1599113991713459,0.2,0.05,
153.45,0.03999999999999995,0.15991361419206224,0.2,0.05,
153.95,0.03999999999999995,0.1599157738372607,0.2,0.05,
154.45,0.03999999999999995,0.15991787949132918,0.2,0.05,
154.95,0.03999999999999995,0.15991993250404596,0.2,0.05,
155.45,0.03999999999999995,0.1599219341914448,0.2,0.05,
155.95,0.03999999999999995,0.15992388583665867,0.2,0.05,
156.45,0.03999999999999995,0.1599257886907422,0.2,0.05,
156.95,0.03999999999999995,0.15992764397347364,0.2,0.05,
157.45,0.03999999999999995,0.1599294528741368,0.2,0.05,
157.95,0.03999999999999995,0.15993121655228337,0.2,0.05,
158.45,0.03999999999999995,0.15993293613847626,0.2,0.05,
158.95,0.03999999999999995,0.15993461273501436,0.2,0.05,
159.45,0.03999999999999995,0.15993624741663898,0.2,0.05,
159.95,0.03999999999999995,0.159937841231223,0.2,0.05,
160.45,0.03999999999999995,0.15993939520044242,0.2,0.05,
160.95,0.03999999999999995,0.15994091032043134,0.2,0.05,
161.45,0.03999999999999995,0.15994238756242057,0.2,0.05,
161.95,0.03999999999999995,0.15994382787336003,0.2,0.05,
162.45,0.03999999999999995,0.159945232176526,0.2,0.05,
162.95,0.03999999999999995,0.15994660137211286,0.2,0.05,
163.45,0.03999999999999995,0.15994793633781001,0.2,0.05,
163.95,0.03999999999999995,0.15994923792936477,0.2,0.05,
164.45,0.03999999999999995,0.15995050698113067,0.2,0.05,
164.95,0.03999999999999995,0.15995174430660242,0.2,0.05,
165.45,0.03999999999999995,0.15995295069893734,0.2,0.05,
165.95,0.03999999999999995,0.15995412693146388,0.2,0.05,
166.45,0.03999999999999995,0.15995527375817725,0.2,0.05,
166.95,0.03999999999999995,0.15995639191422284,0.2,0.05,
167.45,0.03999999999999995,0.1599574821163673,0.2,0.05,
167.95,0.03999999999999995,0.15995854506345808,0.2,0.05,
168.45,0.03999999999999995,0.1599595814368716,0.2,0.05,
168.95,0.03999999999999995,0.1599605919009498,0.2,0.05,
169.45,0.03999999999999995,0.15996157710342607,0.2,0.05,
169.95,0.03999999999999995,0.1599625376758404,0.2,0.05,
170.45,0.03999999999999995,0.15996347423394436,0.2,0.05,
170.95,0.03999999999999995,0.15996438737809576,0.2,0.05,
171.45,0.03999999999999995,0.15996527769364338,0.2,0.05,
171.95,0.03999999999999995,0.1599661457513023,0.2,0.05,
172.45,0.03999999999999995,0.15996699210751975,0.2,0.05,
172.95,0.03999999999999995,0.15996781730483173,0.2,0.05,
173.45,0.03999999999999995,0.15996862187221095,0.2,0.05,
